regime,k_pl,abs_delta_e,one_minus_f,n2q,d2q,dc,s_alg,source_json,source_json_sha256,plot_png,plot_png_sha256,qiskit_cost_source,s_alg_source,plateau_rule
weak-weak,13,0.00045236490925915085,,48,34,183,7144,raw_outputs/paper_i_hh_physical_operator_lanes_nobatch_factor3_20260708/weak_weak/json/result.json,bb51341389bac493f99fac05bd425f6cdfca28a1d87983aa812d979b6301d1cb,MATH/paper_details/figures/paper_i_physical_lane_snake_duplicate_20260708/paper_i_physical_lane_snake_duplicate_20260708__weak_weak.png,69adc8edfea28a75ac70550ccfc83bc9f03b7e169d8357fa9ef5319d19d0894f,qiskit_selected_snake_history_prefix_compile,snake_algorithmic_work_from_payload(scope=display_prefix),user_requested_physical_lane_prefix_for_cost_and_plot_marker
intermediate-weak,10,0.00021581402163145524,,38,30,133,5799,raw_outputs/paper_i_hh_physical_operator_lanes_nobatch_factor3_20260708/intermediate_weak/json/result.json,aee2bdfc258555013392ebda3ab97bc822b248bee0ffa41b9bada35bb70ab1e9,MATH/paper_details/figures/paper_i_physical_lane_snake_duplicate_20260708/paper_i_physical_lane_snake_duplicate_20260708__intermediate_weak.png,0bd2e498e9d3ceb26ddb8bca59f575e0bd16e5d9aff6283732909fcc7de5ad1e,qiskit_selected_snake_history_prefix_compile,snake_algorithmic_work_from_payload(scope=display_prefix),user_requested_physical_lane_prefix_for_cost_and_plot_marker
strong-weak,11,1.5912792076244742e-06,,44,37,200,5933,raw_outputs/paper_i_hh_physical_operator_lanes_nobatch_factor3_20260708/strong_weak/json/result.json,a77f913eb2c2b1cbf8adfeebd4e6cca23dc0f966a2d06467a3d902554042a745,MATH/paper_details/figures/paper_i_physical_lane_snake_duplicate_20260708/paper_i_physical_lane_snake_duplicate_20260708__strong_weak.png,7613d4904ec75671384319b4cec01893a7b64141d8c73362666b571df986018f,qiskit_selected_snake_history_prefix_compile,snake_algorithmic_work_from_payload(scope=display_prefix),user_requested_physical_lane_prefix_for_cost_and_plot_marker
weak-strong,16,0.018409726432997653,,70,61,206,20108,raw_outputs/paper_i_hh_physical_operator_lanes_nobatch_factor3_20260708/weak_strong/json/result.json,bd2bf3e23db23523edda9c716589cc3ad9899bb2e8ff1a1a783537f51120f9b0,MATH/paper_details/figures/paper_i_physical_lane_snake_duplicate_20260708/paper_i_physical_lane_snake_duplicate_20260708__weak_strong.png,a6fa5cd7e915116d1a8a342b54fe5623762053d29659dd70115229227abcace6,qiskit_selected_snake_history_prefix_compile,snake_algorithmic_work_from_payload(scope=display_prefix),first_prefix_with_error_within_10pct_of_best_trajectory_error
intermediate-strong,28,0.0006870740365135797,,150,121,540,33487,raw_outputs/paper_i_hh_physical_operator_lanes_nobatch_factor3_20260708/intermediate_strong/json/result.json,9c49de416cf31831ee7be58f75faddfbf2e04ea0e5d4a0e03342b9da195da9ea,MATH/paper_details/figures/paper_i_physical_lane_snake_duplicate_20260708/paper_i_physical_lane_snake_duplicate_20260708__intermediate_strong.png,58ae1b865fd6fd9f8839f7c56984e9e9279d53b319dc4ab32bb1686d1a8f5b3f,qiskit_selected_snake_history_prefix_compile,snake_algorithmic_work_from_payload(scope=display_prefix),first_prefix_with_error_within_10pct_of_best_trajectory_error
strong-strong,13,4.682526561594624e-05,,48,39,188,7434,raw_outputs/paper_i_hh_physical_operator_lanes_nobatch_factor3_20260708/strong_strong/json/result.json,d789821367b4cf512346794f38193e68c1cf2aa6644474f29b041485579e9124,MATH/paper_details/figures/paper_i_physical_lane_snake_duplicate_20260708/paper_i_physical_lane_snake_duplicate_20260708__strong_strong.png,f1375eeaa68bfd23e77f80f81bc92b2e23d63e1b06ba5249397986e9b0ff9ebe,qiskit_selected_snake_history_prefix_compile,snake_algorithmic_work_from_payload(scope=display_prefix),user_requested_physical_lane_prefix_for_cost_and_plot_marker
