method,trotter_steps,hardware_diagnostic_only,budget_mode,budget_scope,budget_source,budget_count_2q,budget_cx_count,budget_depth,run_dir,workflow_json,workflow_pdf,snapshot_metrics_json,transpile_backend,dynamics_only_count_2q,dynamics_only_cx_count,dynamics_only_depth,prep_plus_dynamics_count_2q,prep_plus_dynamics_cx_count,prep_plus_dynamics_depth,snapshot_max_count_2q,snapshot_max_cx_count,snapshot_max_depth,snapshot_final_count_2q,snapshot_final_cx_count,snapshot_final_depth,cx_proxy_total,depth_proxy_total,final_fidelity,min_fidelity,max_abs_energy_total_error,final_abs_energy_total_error,final_abs_energy_error_vs_ground_state,transpile_status
suzuki2,2,True,snapshot,dynamics_only,snapshot_max_dynamics_only,283,283,286,artifacts/json/hh_fixed_seed_qpu_prep_snapshot_t4_runs/suzuki2_S2,artifacts/json/hh_fixed_seed_qpu_prep_snapshot_t4_runs/suzuki2_S2/workflow.json,artifacts/json/hh_fixed_seed_qpu_prep_snapshot_t4_runs/suzuki2_S2/workflow.pdf,artifacts/json/hh_fixed_seed_qpu_prep_snapshot_t4_runs/suzuki2_S2/snapshot_metrics.json,FakeGuadalupeV2,283,283,280,,,,283,283,286,283,283,280,288,132,0.0095700762380676,0.0013047392719011258,5.863182683449177,5.335748112258446,5.350640324422388,ok
suzuki2,4,True,snapshot,dynamics_only,snapshot_max_dynamics_only,557,557,566,artifacts/json/hh_fixed_seed_qpu_prep_snapshot_t4_runs/suzuki2_S4,artifacts/json/hh_fixed_seed_qpu_prep_snapshot_t4_runs/suzuki2_S4/workflow.json,artifacts/json/hh_fixed_seed_qpu_prep_snapshot_t4_runs/suzuki2_S4/workflow.pdf,artifacts/json/hh_fixed_seed_qpu_prep_snapshot_t4_runs/suzuki2_S4/snapshot_metrics.json,FakeGuadalupeV2,557,557,560,,,,557,557,566,557,557,560,576,264,0.39806875239353834,0.39806875239353834,3.595722843066318,3.595722843066318,3.6114314514917782,ok
suzuki2,8,True,snapshot,dynamics_only,snapshot_max_dynamics_only,1105,1105,1130,artifacts/json/hh_fixed_seed_qpu_prep_snapshot_t4_runs/suzuki2_S8,artifacts/json/hh_fixed_seed_qpu_prep_snapshot_t4_runs/suzuki2_S8/workflow.json,artifacts/json/hh_fixed_seed_qpu_prep_snapshot_t4_runs/suzuki2_S8/workflow.pdf,artifacts/json/hh_fixed_seed_qpu_prep_snapshot_t4_runs/suzuki2_S8/snapshot_metrics.json,FakeGuadalupeV2,1105,1105,1125,,,,1105,1105,1130,1105,1105,1125,1152,528,0.9557083183455846,0.9557083183455846,0.2305235730526849,0.2305235730526849,0.24644666648964808,ok
cfqm4,1,True,snapshot,dynamics_only,snapshot_max_dynamics_only,283,283,286,artifacts/json/hh_fixed_seed_qpu_prep_snapshot_t4_runs/cfqm4_S1,artifacts/json/hh_fixed_seed_qpu_prep_snapshot_t4_runs/cfqm4_S1/workflow.json,artifacts/json/hh_fixed_seed_qpu_prep_snapshot_t4_runs/cfqm4_S1/workflow.pdf,artifacts/json/hh_fixed_seed_qpu_prep_snapshot_t4_runs/cfqm4_S1/snapshot_metrics.json,FakeGuadalupeV2,283,283,279,,,,283,283,286,283,283,279,288,132,0.05844962644500153,0.0006326726803666389,5.916729959294208,4.838213272511668,4.850716815630779,ok
cfqm4,2,True,snapshot,dynamics_only,snapshot_max_dynamics_only,557,557,566,artifacts/json/hh_fixed_seed_qpu_prep_snapshot_t4_runs/cfqm4_S2,artifacts/json/hh_fixed_seed_qpu_prep_snapshot_t4_runs/cfqm4_S2/workflow.json,artifacts/json/hh_fixed_seed_qpu_prep_snapshot_t4_runs/cfqm4_S2/workflow.pdf,artifacts/json/hh_fixed_seed_qpu_prep_snapshot_t4_runs/cfqm4_S2/snapshot_metrics.json,FakeGuadalupeV2,557,557,556,,,,557,557,566,557,557,556,576,264,0.40244962379866955,0.40244962379866955,3.6955551748061524,3.6955551748061524,3.710447386970094,ok
cfqm4,4,True,snapshot,dynamics_only,snapshot_max_dynamics_only,1105,1105,1126,artifacts/json/hh_fixed_seed_qpu_prep_snapshot_t4_runs/cfqm4_S4,artifacts/json/hh_fixed_seed_qpu_prep_snapshot_t4_runs/cfqm4_S4/workflow.json,artifacts/json/hh_fixed_seed_qpu_prep_snapshot_t4_runs/cfqm4_S4/workflow.pdf,artifacts/json/hh_fixed_seed_qpu_prep_snapshot_t4_runs/cfqm4_S4/snapshot_metrics.json,FakeGuadalupeV2,1105,1105,1113,,,,1105,1105,1126,1105,1105,1113,1152,528,0.9547670990395065,0.9547670990395065,0.23413811934908943,0.23413811934908943,0.24984672777454953,ok
