method,trotter_steps,hardware_diagnostic_only,run_dir,workflow_json,workflow_pdf,transpile_backend,dynamics_only_count_2q,dynamics_only_cx_count,dynamics_only_depth,prep_plus_dynamics_count_2q,prep_plus_dynamics_cx_count,prep_plus_dynamics_depth,cx_proxy_total,depth_proxy_total,final_fidelity,min_fidelity,max_abs_energy_total_error,final_abs_energy_total_error,final_abs_energy_error_vs_ground_state,transpile_status
suzuki2,64,True,artifacts/json/hh_fixed_seed_qpu_prep_suzuki_only_runs/suzuki2_S64,artifacts/json/hh_fixed_seed_qpu_prep_suzuki_only_runs/suzuki2_S64/workflow.json,artifacts/json/hh_fixed_seed_qpu_prep_suzuki_only_runs/suzuki2_S64/workflow.pdf,FakeGuadalupeV2,8777,8777,8816,,,,9216,4224,0.9994543562484247,0.9993596609579108,0.0020296386573361302,0.0006349455732119758,0.11559615603035517,ok
suzuki2,96,True,artifacts/json/hh_fixed_seed_qpu_prep_suzuki_only_runs/suzuki2_S96,artifacts/json/hh_fixed_seed_qpu_prep_suzuki_only_runs/suzuki2_S96/workflow.json,artifacts/json/hh_fixed_seed_qpu_prep_suzuki_only_runs/suzuki2_S96/workflow.pdf,FakeGuadalupeV2,13161,13161,13222,,,,13824,6336,0.9998895042535823,0.9998696541379936,0.0008228831661818425,1.7140906740653605e-05,0.11500338849805652,ok
suzuki2,128,False,artifacts/json/hh_fixed_seed_qpu_prep_suzuki_only_runs/suzuki2_S128,artifacts/json/hh_fixed_seed_qpu_prep_suzuki_only_runs/suzuki2_S128/workflow.json,artifacts/json/hh_fixed_seed_qpu_prep_suzuki_only_runs/suzuki2_S128/workflow.pdf,FakeGuadalupeV2,17545,17545,17894,,,,18432,8448,0.9999647775469714,0.9999584119578017,0.0005002336159540821,3.433535988928149e-05,0.11496068128434261,ok
