trial_000005__intermediate_strong	chtc/phase3_optuna/input/paper_i_hh_route_a_optuna_wave001_20260711_v2/cell_manifests/trial_000005__intermediate_strong.json	trial_000005/intermediate-strong	32768	61440
trial_000005__strong_strong_u8	chtc/phase3_optuna/input/paper_i_hh_route_a_optuna_wave001_20260711_v2/cell_manifests/trial_000005__strong_strong_u8.json	trial_000005/strong-strong-u8	32768	61440
trial_000006__weak_weak	chtc/phase3_optuna/input/paper_i_hh_route_a_optuna_wave001_20260711_v2/cell_manifests/trial_000006__weak_weak.json	trial_000006/weak-weak	24576	40960
trial_000006__intermediate_weak	chtc/phase3_optuna/input/paper_i_hh_route_a_optuna_wave001_20260711_v2/cell_manifests/trial_000006__intermediate_weak.json	trial_000006/intermediate-weak	24576	40960
trial_000006__strong_weak_u8	chtc/phase3_optuna/input/paper_i_hh_route_a_optuna_wave001_20260711_v2/cell_manifests/trial_000006__strong_weak_u8.json	trial_000006/strong-weak-u8	32768	61440
trial_000006__weak_strong	chtc/phase3_optuna/input/paper_i_hh_route_a_optuna_wave001_20260711_v2/cell_manifests/trial_000006__weak_strong.json	trial_000006/weak-strong	32768	61440
trial_000006__intermediate_strong	chtc/phase3_optuna/input/paper_i_hh_route_a_optuna_wave001_20260711_v2/cell_manifests/trial_000006__intermediate_strong.json	trial_000006/intermediate-strong	32768	61440
trial_000006__strong_strong_u8	chtc/phase3_optuna/input/paper_i_hh_route_a_optuna_wave001_20260711_v2/cell_manifests/trial_000006__strong_strong_u8.json	trial_000006/strong-strong-u8	32768	61440
trial_000008__weak_weak	chtc/phase3_optuna/input/paper_i_hh_route_a_optuna_wave001_20260711_v2/cell_manifests/trial_000008__weak_weak.json	trial_000008/weak-weak	24576	40960
trial_000008__intermediate_weak	chtc/phase3_optuna/input/paper_i_hh_route_a_optuna_wave001_20260711_v2/cell_manifests/trial_000008__intermediate_weak.json	trial_000008/intermediate-weak	24576	40960
trial_000008__strong_weak_u8	chtc/phase3_optuna/input/paper_i_hh_route_a_optuna_wave001_20260711_v2/cell_manifests/trial_000008__strong_weak_u8.json	trial_000008/strong-weak-u8	32768	61440
trial_000008__weak_strong	chtc/phase3_optuna/input/paper_i_hh_route_a_optuna_wave001_20260711_v2/cell_manifests/trial_000008__weak_strong.json	trial_000008/weak-strong	32768	61440
trial_000008__intermediate_strong	chtc/phase3_optuna/input/paper_i_hh_route_a_optuna_wave001_20260711_v2/cell_manifests/trial_000008__intermediate_strong.json	trial_000008/intermediate-strong	32768	61440
trial_000008__strong_strong_u8	chtc/phase3_optuna/input/paper_i_hh_route_a_optuna_wave001_20260711_v2/cell_manifests/trial_000008__strong_strong_u8.json	trial_000008/strong-strong-u8	32768	61440
trial_000009__weak_weak	chtc/phase3_optuna/input/paper_i_hh_route_a_optuna_wave001_20260711_v2/cell_manifests/trial_000009__weak_weak.json	trial_000009/weak-weak	24576	40960
trial_000009__intermediate_weak	chtc/phase3_optuna/input/paper_i_hh_route_a_optuna_wave001_20260711_v2/cell_manifests/trial_000009__intermediate_weak.json	trial_000009/intermediate-weak	24576	40960
trial_000009__strong_weak_u8	chtc/phase3_optuna/input/paper_i_hh_route_a_optuna_wave001_20260711_v2/cell_manifests/trial_000009__strong_weak_u8.json	trial_000009/strong-weak-u8	32768	61440
trial_000009__weak_strong	chtc/phase3_optuna/input/paper_i_hh_route_a_optuna_wave001_20260711_v2/cell_manifests/trial_000009__weak_strong.json	trial_000009/weak-strong	32768	61440
trial_000009__intermediate_strong	chtc/phase3_optuna/input/paper_i_hh_route_a_optuna_wave001_20260711_v2/cell_manifests/trial_000009__intermediate_strong.json	trial_000009/intermediate-strong	32768	61440
trial_000009__strong_strong_u8	chtc/phase3_optuna/input/paper_i_hh_route_a_optuna_wave001_20260711_v2/cell_manifests/trial_000009__strong_strong_u8.json	trial_000009/strong-strong-u8	32768	61440
trial_000010__weak_weak	chtc/phase3_optuna/input/paper_i_hh_route_a_optuna_wave001_20260711_v2/cell_manifests/trial_000010__weak_weak.json	trial_000010/weak-weak	24576	40960
trial_000010__intermediate_weak	chtc/phase3_optuna/input/paper_i_hh_route_a_optuna_wave001_20260711_v2/cell_manifests/trial_000010__intermediate_weak.json	trial_000010/intermediate-weak	24576	40960
trial_000010__strong_weak_u8	chtc/phase3_optuna/input/paper_i_hh_route_a_optuna_wave001_20260711_v2/cell_manifests/trial_000010__strong_weak_u8.json	trial_000010/strong-weak-u8	32768	61440
trial_000010__weak_strong	chtc/phase3_optuna/input/paper_i_hh_route_a_optuna_wave001_20260711_v2/cell_manifests/trial_000010__weak_strong.json	trial_000010/weak-strong	32768	61440
trial_000010__intermediate_strong	chtc/phase3_optuna/input/paper_i_hh_route_a_optuna_wave001_20260711_v2/cell_manifests/trial_000010__intermediate_strong.json	trial_000010/intermediate-strong	32768	61440
trial_000010__strong_strong_u8	chtc/phase3_optuna/input/paper_i_hh_route_a_optuna_wave001_20260711_v2/cell_manifests/trial_000010__strong_strong_u8.json	trial_000010/strong-strong-u8	32768	61440
trial_000011__weak_weak	chtc/phase3_optuna/input/paper_i_hh_route_a_optuna_wave001_20260711_v2/cell_manifests/trial_000011__weak_weak.json	trial_000011/weak-weak	24576	40960
trial_000011__intermediate_weak	chtc/phase3_optuna/input/paper_i_hh_route_a_optuna_wave001_20260711_v2/cell_manifests/trial_000011__intermediate_weak.json	trial_000011/intermediate-weak	24576	40960
trial_000011__strong_weak_u8	chtc/phase3_optuna/input/paper_i_hh_route_a_optuna_wave001_20260711_v2/cell_manifests/trial_000011__strong_weak_u8.json	trial_000011/strong-weak-u8	32768	61440
trial_000011__weak_strong	chtc/phase3_optuna/input/paper_i_hh_route_a_optuna_wave001_20260711_v2/cell_manifests/trial_000011__weak_strong.json	trial_000011/weak-strong	32768	61440
trial_000011__intermediate_strong	chtc/phase3_optuna/input/paper_i_hh_route_a_optuna_wave001_20260711_v2/cell_manifests/trial_000011__intermediate_strong.json	trial_000011/intermediate-strong	32768	61440
trial_000011__strong_strong_u8	chtc/phase3_optuna/input/paper_i_hh_route_a_optuna_wave001_20260711_v2/cell_manifests/trial_000011__strong_strong_u8.json	trial_000011/strong-strong-u8	32768	61440
trial_000012__weak_weak	chtc/phase3_optuna/input/paper_i_hh_route_a_optuna_wave001_20260711_v2/cell_manifests/trial_000012__weak_weak.json	trial_000012/weak-weak	24576	40960
trial_000012__intermediate_weak	chtc/phase3_optuna/input/paper_i_hh_route_a_optuna_wave001_20260711_v2/cell_manifests/trial_000012__intermediate_weak.json	trial_000012/intermediate-weak	24576	40960
trial_000012__strong_weak_u8	chtc/phase3_optuna/input/paper_i_hh_route_a_optuna_wave001_20260711_v2/cell_manifests/trial_000012__strong_weak_u8.json	trial_000012/strong-weak-u8	32768	61440
trial_000012__weak_strong	chtc/phase3_optuna/input/paper_i_hh_route_a_optuna_wave001_20260711_v2/cell_manifests/trial_000012__weak_strong.json	trial_000012/weak-strong	32768	61440
trial_000012__intermediate_strong	chtc/phase3_optuna/input/paper_i_hh_route_a_optuna_wave001_20260711_v2/cell_manifests/trial_000012__intermediate_strong.json	trial_000012/intermediate-strong	32768	61440
trial_000012__strong_strong_u8	chtc/phase3_optuna/input/paper_i_hh_route_a_optuna_wave001_20260711_v2/cell_manifests/trial_000012__strong_strong_u8.json	trial_000012/strong-strong-u8	32768	61440
trial_000013__weak_weak	chtc/phase3_optuna/input/paper_i_hh_route_a_optuna_wave001_20260711_v2/cell_manifests/trial_000013__weak_weak.json	trial_000013/weak-weak	24576	40960
trial_000013__intermediate_weak	chtc/phase3_optuna/input/paper_i_hh_route_a_optuna_wave001_20260711_v2/cell_manifests/trial_000013__intermediate_weak.json	trial_000013/intermediate-weak	24576	40960
