stage,unit_index,unit_kind,unit_label,base_label,sequence_order,theta_value,reference_energy,energy_prefix,delta_energy_from_previous,energy_full,energy_full_minus_unit,removal_penalty,parameter_count,logical_2q_count,logical_depth,unit_logical_2q_count,unit_logical_depth,energy_gain_per_2q,energy_gain_per_depth,circuit_hash,removal_circuit_hash,full_circuit_hash
warm_start,16,logical_block,layer2:hh_eph(i=1),hh_eph(i=1),16,0.13834849654140619,5.0,1.2896159973724144,0.02992267096749801,0.19596077032071005,0.21072682692805433,0.014766056607344286,16,48,16,6,1,0.004987111827916335,0.02992267096749801,140a1e939e0dc517,c655bade53d32773,b4aa557c4e4bd6e9
warm_start,17,logical_block,"layer3:hh_hop(i=0,j=1,spin=0)","hh_hop(i=0,j=1,spin=0)",17,-1.6292020641040512,5.0,1.9604055169766863,-0.6707895196042719,0.19596077032071005,3.29425066950642,3.0982898991857097,17,50,17,2,1,-0.33539475980213596,-0.6707895196042719,5566e0c700c4df90,7628664de91cbb0d,b4aa557c4e4bd6e9
warm_start,18,logical_block,"layer3:hh_hop(i=0,j=1,spin=1)","hh_hop(i=0,j=1,spin=1)",18,-0.8758719423002851,5.0,0.28525030369401977,1.6751552132826666,0.19596077032071005,1.9943000111160856,1.7983392407953755,18,52,18,2,1,0.8375776066413333,1.6751552132826666,1648c17c0b6edc29,b978e048fae3e04d,b4aa557c4e4bd6e9
warm_start,19,logical_block,layer3:hh_onsite(i=0),hh_onsite(i=0),19,0.03586809586929656,5.0,0.2876239625363581,-0.002373658842338311,0.19596077032071005,0.1971547963469497,0.001194026026239664,19,54,19,2,1,-0.0011868294211691555,-0.002373658842338311,3f102db9a18ce95f,163b827b428283c5,b4aa557c4e4bd6e9
warm_start,20,logical_block,layer3:hh_onsite(i=1),hh_onsite(i=1),20,0.0014983817851290243,5.0,0.2873209891394282,0.000302973396929862,0.19596077032071005,0.1961046567886492,0.00014388646793914162,20,56,20,2,1,0.000151486698464931,0.000302973396929862,1f019d988ee3db9c,d8213f85e46471d4,b4aa557c4e4bd6e9
warm_start,21,logical_block,layer3:hh_phonon(i=0),hh_phonon(i=0),21,-0.07460339893502745,5.0,0.28444780328362396,0.002873185855804261,0.19596077032071005,0.19640680914517192,0.0004460388244618696,21,58,21,2,1,0.0014365929279021306,0.002873185855804261,d768802d1adf2404,09e52d953a079942,b4aa557c4e4bd6e9
warm_start,22,logical_block,layer3:hh_phonon(i=1),hh_phonon(i=1),22,0.36024247925268676,5.0,0.2759557048746919,0.008492098408932058,0.19596077032071005,0.19479101322623588,-0.001169757094474172,22,60,22,2,1,0.004246049204466029,0.008492098408932058,968ad58d22069f91,c762474965fb9a84,b4aa557c4e4bd6e9
warm_start,23,logical_block,layer3:hh_eph(i=0),hh_eph(i=0),23,0.5763385009459593,5.0,0.21405877914310584,0.06189692573158606,0.19596077032071005,0.25501781834148834,0.0590570480207783,23,66,23,6,1,0.010316154288597676,0.06189692573158606,4e589802fc7bd5ca,72161d44180bbe22,b4aa557c4e4bd6e9
warm_start,24,logical_block,layer3:hh_eph(i=1),hh_eph(i=1),24,-0.3630648814223752,5.0,0.19596077032071005,0.01809800882239579,0.19596077032071005,0.21405877914310584,0.01809800882239579,24,72,24,6,1,0.0030163348037326315,0.01809800882239579,b4aa557c4e4bd6e9,4e589802fc7bd5ca,b4aa557c4e4bd6e9
adapt_vqe,1,accepted_operator_insertion,accept1:uccsd_sing(beta:2->3)_0,uccsd_sing(beta:2->3)_0,25,-0.09895760965943624,0.1809908893387998,0.17931872758058082,0.001672161758218993,0.17931872758058082,0.1809908893387998,0.001672161758218993,1,2,1,2,1,0.0008360808791094965,0.001672161758218993,fe1b83018884bc6b,04626932b2eff372,81c7e8a4baa4afdb
