label,requested_backend,resolved_backend,resolution_kind,using_fake_backend,compile_cost_mode,energy,abs_delta_e,ansatz_depth,logical_num_parameters,compiled_count_2q,compiled_depth,compiled_size,compiled_cx_count,compiled_ecr_count,swap_count,absolute_burden_score_v1,stop_reason,output_json,delta_energy_vs_proxy,delta_abs_delta_e_vs_proxy,delta_ansatz_depth_vs_proxy,delta_logical_num_parameters_vs_proxy
proxy_baseline,,,,,proxy,0.15872408236037067,5.617823464432181e-05,15,15,,,,,,,,drop_plateau,/Users/jakestrobel/Documents/Holstein_implementation/Holstein_test_fullclone_3/artifacts/json/hh_backend_adapt_fullhorse_powell_20260322T194155Z_proxy_baseline.json,,,,
FakeNighthawk,FakeNighthawk,FakeNighthawk,fake_exact,True,transpile_single_v1,0.1587240823603705,5.6178234645376524e-05,16,16,60,137,272,0,0,,76.42,drop_plateau,/Users/jakestrobel/Documents/Holstein_implementation/Holstein_test_fullclone_3/artifacts/json/hh_backend_adapt_fullhorse_powell_20260322T194155Z_fakenighthawk.json,-1.6653345369377348e-16,1.0547118733938987e-15,1,1
FakeFez,FakeFez,FakeFez,fake_exact,True,transpile_single_v1,0.15872408236037253,5.617823464698635e-05,16,16,120,351,502,0,0,,160.12,drop_plateau,/Users/jakestrobel/Documents/Holstein_implementation/Holstein_test_fullclone_3/artifacts/json/hh_backend_adapt_fullhorse_powell_20260322T194155Z_fakefez.json,1.8596235662471372e-15,2.6645352591003757e-15,1,1
FakeMarrakesh,FakeMarrakesh,FakeMarrakesh,fake_exact,True,transpile_single_v1,0.15872408236037253,5.6178234647374925e-05,16,16,120,351,502,0,0,,160.12,drop_plateau,/Users/jakestrobel/Documents/Holstein_implementation/Holstein_test_fullclone_3/artifacts/json/hh_backend_adapt_fullhorse_powell_20260322T194155Z_fakemarrakesh.json,1.8596235662471372e-15,3.0531133177191805e-15,1,1
