stage,unit_index,unit_kind,unit_label,base_label,sequence_order,theta_value,reference_energy,energy_prefix,delta_energy_from_previous,energy_full,energy_full_minus_unit,removal_penalty,parameter_count,logical_2q_count,logical_depth,unit_logical_2q_count,unit_logical_depth,energy_gain_per_2q,energy_gain_per_depth,circuit_hash,removal_circuit_hash,full_circuit_hash
warm_start,19,logical_block,layer3:hh_onsite(i=0),hh_onsite(i=0),19,0.3123290939284399,5.0,0.9222587028772324,0.503505220039149,0.14543953335235707,0.6148410693788231,0.46940153602646606,19,54,19,2,1,0.2517526100195745,0.503505220039149,6d740c527979ba5d,897b7c5e25a81fa7,01869553ed46625c
warm_start,20,logical_block,layer3:hh_onsite(i=1),hh_onsite(i=1),20,0.36870886912686407,5.0,0.19279851474073162,0.7294601881365008,0.14543953335235707,0.8329690267365295,0.6875294933841725,20,56,20,2,1,0.3647300940682504,0.7294601881365008,f0eeb1008e890f38,a21f140f0cd576a6,01869553ed46625c
warm_start,21,logical_block,layer3:hh_phonon(i=0),hh_phonon(i=0),21,0.7803740062462775,5.0,0.15658030206172416,0.03621821267900746,0.14543953335235707,0.1514271211463349,0.005987587793977817,21,58,21,2,1,0.01810910633950373,0.03621821267900746,e3f837ccb2054e5a,fb893d2582e9e25e,01869553ed46625c
warm_start,22,logical_block,layer3:hh_phonon(i=1),hh_phonon(i=1),22,-0.1865120961915273,5.0,0.16221026141662007,-0.005629959354895908,0.14543953335235707,0.14976585378585486,0.004326320433497788,22,60,22,2,1,-0.002814979677447954,-0.005629959354895908,fff3e8abf1f97fdc,db3f6d44184b39cd,01869553ed46625c
warm_start,23,logical_block,layer3:hh_eph(i=0),hh_eph(i=0),23,-0.21473505222173572,5.0,0.15903597493565375,0.0031742864809663207,0.14543953335235707,0.14798285679072687,0.002543323438369799,23,66,23,6,1,0.0005290477468277202,0.0031742864809663207,98b1dd8f94e2b181,222d3e3e09e405b2,01869553ed46625c
warm_start,24,logical_block,layer3:hh_eph(i=1),hh_eph(i=1),24,-0.16516565027871236,5.0,0.14543953335235707,0.013596441583296676,0.14543953335235707,0.15903597493565375,0.013596441583296676,24,72,24,6,1,0.0022660735972161125,0.013596441583296676,01869553ed46625c,98b1dd8f94e2b181,01869553ed46625c
adapt_vqe,1,accepted_operator_insertion,accept1:hh_termwise_ham_unit_term(eeeexxee),hh_termwise_ham_unit_term(eeeexxee),25,0.0,0.14306566196339376,0.14306566196339376,0.0,0.14306566196339376,0.14306566196339376,0.0,1,2,1,2,1,0.0,0.0,6b229160c58bf69d,ea0a26abbc8d4055,ade69b45c85f827d
adapt_vqe,2,accepted_operator_insertion,accept2:hh_termwise_ham_unit_term(eeeexxee),hh_termwise_ham_unit_term(eeeexxee),26,0.0,0.14306566196339376,0.14306566196339376,0.0,0.14306566196339376,0.14306566196339376,0.0,2,4,2,2,1,0.0,0.0,4bc566d5afa43b24,ee14793476daba2a,ade69b45c85f827d
adapt_vqe,3,accepted_operator_insertion,accept3:hh_termwise_ham_unit_term(eeeexxee),hh_termwise_ham_unit_term(eeeexxee),27,0.0,0.14306566196339376,0.14306566196339376,0.0,0.14306566196339376,0.14306566196339376,0.0,3,6,3,2,1,0.0,0.0,6804fffef32e52b0,5895bf7e62a1a027,ade69b45c85f827d
adapt_vqe,4,accepted_operator_insertion,accept4:hh_termwise_ham_unit_term(eeeexxee),hh_termwise_ham_unit_term(eeeexxee),28,0.0,0.14306566196339376,0.14306566196339376,0.0,0.14306566196339376,0.14306566196339376,0.0,4,8,4,2,1,0.0,0.0,93a74081883cf8b5,8b189b477998b207,ade69b45c85f827d
